__time,/RMSE/data
1669053078.096209,0.096242
1669053078.296267,0.096242
1669053078.496219,0.096242
1669053078.696186,0.090436
1669053078.896191,0.089228
1669053079.096216,0.087699
1669053079.296238,0.085864
1669053079.496191,0.085864
1669053079.696193,0.085864
1669053079.896199,0.085864
1669053080.096186,0.087837
1669053080.296185,0.087837
1669053080.496250,0.087837
1669053080.696217,0.085303
1669053080.896266,0.085660
1669053081.096200,0.085896
1669053081.296176,0.082777
1669053081.496350,0.082777
1669053081.696352,0.082777
1669053081.896309,0.082777
1669053082.096194,0.082777
1669053082.296241,0.080185
1669053082.496205,0.080185
1669053082.696183,0.080185
1669053082.896196,0.080185
1669053083.096220,0.085432
1669053083.296181,0.085432
1669053083.496187,0.085432
1669053083.696177,0.081934
1669053083.896239,0.083198
1669053084.096184,0.083198
1669053084.296189,0.083198
1669053084.496171,0.083198
1669053084.696182,0.083198
1669053084.896173,0.083198
1669053085.096183,0.083198
1669053085.296185,0.076692
1669053085.496171,0.076692
1669053085.696419,0.076592
1669053085.896333,0.076592
1669053086.096355,0.076592
1669053086.296207,0.076592
1669053086.496204,0.074885
1669053086.696187,0.074337
1669053086.896170,0.074337
1669053087.096206,0.072740
1669053087.296185,0.073318
1669053087.496198,0.073318
1669053087.696226,0.073318
1669053087.896181,0.068236
1669053088.096188,0.068236
1669053088.296160,0.073047
1669053088.496172,0.073047
1669053088.696169,0.073047
1669053088.896204,0.068665
1669053089.096217,0.068665
1669053089.296198,0.072717
1669053089.496345,0.075640
1669053089.696377,0.082186
1669053089.896326,0.086197
1669053090.096352,0.086197
1669053090.296301,0.085387
1669053090.496283,0.085387
1669053090.696236,0.085387
1669053090.896259,0.085387
1669053091.096223,0.085387
1669053091.296181,0.081513
1669053091.496194,0.081513
1669053091.696163,0.082026
1669053091.896176,0.082026
1669053092.096233,0.082026
1669053092.296216,0.082026
1669053092.496259,0.081554
1669053092.696178,0.070043
1669053092.896176,0.070043
1669053093.096173,0.070043
1669053093.296456,0.075572
1669053093.496308,0.075572
1669053093.696306,0.075572
1669053093.896229,0.076198
1669053094.096216,0.076546
1669053094.296205,0.076546
1669053094.496210,0.076546
1669053094.696196,0.076546
1669053094.896176,0.076546
1669053095.096169,0.070642
1669053095.296163,0.070642
1669053095.496197,0.068058
1669053095.696199,0.068058
1669053095.896187,0.067764
1669053096.096224,0.067764
1669053096.296169,0.067764
1669053096.496165,0.065564
1669053096.696162,0.065564
1669053096.896326,0.065111
1669053097.096346,0.064732
1669053097.296261,0.064732
1669053097.496267,0.064732
1669053097.696185,0.064732
1669053097.896243,0.054877
1669053098.096164,0.052426
1669053098.296197,0.052426
1669053098.496151,0.048339
1669053098.696156,0.048339
1669053098.896203,0.046436
1669053099.096195,0.046436
1669053099.296186,0.047633
1669053099.496189,0.047633
1669053099.696182,0.046772
1669053099.896180,0.049818
1669053100.096211,0.046145
1669053100.296211,0.047018
1669053100.496163,0.047018
1669053100.696203,0.046257
1669053100.896153,0.046257
1669053101.096221,0.046257
1669053101.296179,0.046257
1669053101.496328,0.046257
1669053101.696242,0.049832
1669053101.896193,0.049250
1669053102.096200,0.049250
1669053102.296252,0.050828
1669053102.496192,0.050828
1669053102.696185,0.050828
1669053102.896175,0.050828
1669053103.096189,0.050828
1669053103.296178,0.050828
1669053103.496163,0.050828
1669053103.696168,0.050756
1669053103.896173,0.050756
1669053104.096220,0.050756
1669053104.296174,0.053184
1669053104.496163,0.053184
1669053104.696175,0.053184
1669053104.896181,0.053184
1669053105.096160,0.060239
1669053105.296257,0.060239
1669053105.496261,0.061339
1669053105.696251,0.061339
1669053105.896228,0.061339
1669053106.096233,0.061339
1669053106.296243,0.061339
1669053106.496161,0.060994
1669053106.696200,0.063704
1669053106.896175,0.063704
1669053107.096163,0.063704
1669053107.296163,0.063704
1669053107.496190,0.064455
1669053107.696172,0.064455
1669053107.896199,0.064455
1669053108.096166,0.066088
1669053108.296180,0.067391
1669053108.496160,0.067551
1669053108.696180,0.067551
1669053108.896158,0.069721
1669053109.096186,0.079777
1669053109.296143,0.086177
1669053109.496300,0.086177
1669053109.696277,0.082480
1669053109.896234,0.083938
1669053110.096200,0.084425
1669053110.296206,0.084348
1669053110.496243,0.088607
1669053110.696197,0.092804
1669053110.896200,0.090026
1669053111.096197,0.090026
1669053111.296195,0.098481
1669053111.496186,0.097854
1669053111.696175,0.097854
1669053111.896204,0.100866
1669053112.096180,0.100910
1669053112.296203,0.100910
1669053112.496168,0.100910
1669053112.696193,0.096561
1669053112.896172,0.096561
1669053113.096375,0.096561
1669053113.296248,0.096104
1669053113.496397,0.096104
1669053113.696291,0.096104
1669053113.896220,0.098495
1669053114.096193,0.098495
1669053114.296223,0.098495
1669053114.496186,0.098830
1669053114.696202,0.101452
1669053114.896164,0.103823
1669053115.096192,0.103823
1669053115.296187,0.103823
1669053115.496182,0.103823
1669053115.696180,0.103823
1669053115.896161,0.105050
1669053116.096169,0.112384
