__time,/RMSE/data,/RMSE/data.0,/RMSE/data.1,/RMSE/layout/data_offset
1669055474.798969,,0.072738,0.062689,0.000000
1669055474.999013,,0.073686,0.061090,0.000000
1669055475.199052,,0.073686,0.061090,0.000000
1669055475.399030,,0.075171,0.061280,0.000000
1669055475.599069,,0.075171,0.061280,0.000000
1669055475.799142,,0.075171,0.061280,0.000000
1669055475.999009,,0.075171,0.061280,0.000000
1669055476.199053,,0.075171,0.061280,0.000000
1669055476.399056,,0.081115,0.060005,0.000000
1669055476.599352,,0.081115,0.060005,0.000000
1669055476.799200,,0.089266,0.062339,0.000000
1669055476.999188,,0.087773,0.060838,0.000000
1669055477.199157,,0.087773,0.060838,0.000000
1669055477.399327,,0.088028,0.060562,0.000000
1669055477.599030,,0.090029,0.059267,0.000000
1669055477.798993,,0.091601,0.059296,0.000000
1669055477.999028,,0.091601,0.059296,0.000000
1669055478.199018,,0.091980,0.059227,0.000000
1669055478.399072,,0.092308,0.059255,0.000000
1669055478.599021,,0.092308,0.059255,0.000000
1669055478.799016,,0.096038,0.058805,0.000000
1669055478.999080,,0.094926,0.058413,0.000000
1669055479.199041,,0.097365,0.058158,0.000000
1669055479.399028,,0.097681,0.058621,0.000000
1669055479.599037,,0.099829,0.058120,0.000000
1669055479.799090,,0.100640,0.058461,0.000000
1669055479.999037,,0.102570,0.058438,0.000000
1669055480.199074,,0.102934,0.058052,0.000000
1669055480.399106,,0.104646,0.058663,0.000000
1669055480.599126,,0.108663,0.060232,0.000000
1669055480.799120,,0.107786,0.060732,0.000000
1669055480.999067,,0.105100,0.059796,0.000000
1669055481.199064,,0.107060,0.059061,0.000000
1669055481.399084,,0.109241,0.058914,0.000000
1669055481.599090,,0.108125,0.058646,0.000000
1669055481.799016,,0.108934,0.058619,0.000000
1669055481.999056,,0.108934,0.058619,0.000000
1669055482.199075,,0.108934,0.058619,0.000000
1669055482.399079,,0.112914,0.057874,0.000000
1669055482.599046,,0.122594,0.059233,0.000000
1669055482.799085,,0.122594,0.059233,0.000000
1669055482.999039,,0.122594,0.059233,0.000000
1669055483.199028,,0.115154,0.061084,0.000000
1669055483.398967,,0.115154,0.061084,0.000000
1669055483.599062,,0.115154,0.061084,0.000000
1669055483.799035,,0.115154,0.061084,0.000000
1669055483.999048,,0.121424,0.063163,0.000000
1669055484.199081,,0.121424,0.063163,0.000000
1669055484.399071,,0.121424,0.063163,0.000000
1669055484.599279,,0.121424,0.063163,0.000000
1669055484.799211,,0.121424,0.063163,0.000000
1669055484.999166,,0.121675,0.065347,0.000000
1669055485.199054,,0.121675,0.065347,0.000000
1669055485.399064,,0.123670,0.064794,0.000000
1669055485.599057,,0.127570,0.064873,0.000000
1669055485.799038,,0.127570,0.064873,0.000000
1669055485.999077,,0.127570,0.064873,0.000000
1669055486.199035,,0.126553,0.064342,0.000000
1669055486.399002,,0.127633,0.064788,0.000000
1669055486.598991,,0.126581,0.064570,0.000000
1669055486.798988,,0.126581,0.064570,0.000000
1669055486.999032,,0.126581,0.064570,0.000000
1669055487.199059,,0.126581,0.064570,0.000000
1669055487.399002,,0.126591,0.064357,0.000000
1669055487.599064,,0.126591,0.064357,0.000000
1669055487.799013,,0.124936,0.064427,0.000000
1669055487.999057,,0.124936,0.064427,0.000000
1669055488.199047,,0.124936,0.064427,0.000000
1669055488.399308,,0.124936,0.064427,0.000000
1669055488.599310,,0.126270,0.000000,0.000000
1669055488.799277,,0.126270,0.000000,0.000000
1669055488.999378,,0.126270,0.000000,0.000000
1669055489.199125,,0.126270,0.000000,0.000000
1669055489.399247,,0.126270,0.000000,0.000000
1669055489.599048,,0.126270,0.000000,0.000000
1669055489.799008,,0.126270,0.000000,0.000000
1669055489.999077,,0.126270,0.000000,0.000000
1669055490.199027,,0.128809,0.062708,0.000000
1669055490.399019,,0.128809,0.062708,0.000000
1669055490.599017,,0.128809,0.062708,0.000000
1669055490.799067,,0.128809,0.062708,0.000000
1669055490.999055,,0.128809,0.062708,0.000000
1669055491.199016,,0.129519,0.064499,0.000000
1669055491.399067,,0.128066,0.065760,0.000000
1669055491.599075,,0.128066,0.065760,0.000000
1669055491.799084,,0.128066,0.065760,0.000000
1669055491.999099,,0.123968,0.068997,0.000000
1669055492.199084,,0.127981,0.067026,0.000000
1669055492.399073,,0.127894,0.066927,0.000000
1669055492.599078,,0.128723,0.069432,0.000000
1669055492.799265,,0.127264,0.072464,0.000000
1669055492.999263,,0.124659,0.071821,0.000000
1669055493.199293,,0.127296,0.072906,0.000000
1669055493.399220,,0.126382,0.073274,0.000000
1669055493.599103,,0.125014,0.073161,0.000000
1669055493.799058,,0.125074,0.073192,0.000000
1669055493.999032,,0.125074,0.073192,0.000000
1669055494.199076,,0.125074,0.073192,0.000000
1669055494.399035,,0.125074,0.073192,0.000000
1669055494.599004,,0.125074,0.073192,0.000000
1669055494.799024,,0.125074,0.073192,0.000000
1669055494.999103,,0.120908,0.073372,0.000000
1669055495.199080,,0.120908,0.073372,0.000000
1669055495.399072,,0.120908,0.073372,0.000000
1669055495.599022,,0.117253,0.075323,0.000000
1669055495.799004,,0.119939,0.074624,0.000000
1669055495.999048,,0.117230,0.075881,0.000000
1669055496.199054,,0.117230,0.075881,0.000000
1669055496.399093,,0.117230,0.075881,0.000000
1669055496.599086,,0.116503,0.075351,0.000000
